AttendanceTime,IncidentGroupType,PropertyType,BoroughName,WardName,DeployedFromStationName,HourOfCall,NumStationsWithPumpsAttending,SecondPumpArrivingDeployedFromStation,LatitudeIncident,LongitudeIncident,LatitudeStation,LongitudeStation,Distance
5.45,False alarm - Good intent,Non Residential - Retail,Wandsworth,Shaftesbury & Queenstown,Clapham,0.0,3.0,Wandsworth,51.465461,-0.164905,51.464929850000004,-0.14087929374831965,1.67
3.82,False Alarm - Automatic Fire Alarm,Residential - Hostel (e.g. for homeless people),Lewisham,Hither Green,Lewisham,0.0,2.0,Lee Green,51.4524727,-0.0045834,51.45703075,-0.01311455830130065,0.78
4.28,Fire - Primary Fire,Vehicle - Car,Bromley,Chislehurst,Sidcup,2.0,2.0,Eltham,51.4176018076,0.0919737034,51.4278223,0.0929119,1.14
4.08,False Alarm - Automatic Fire Alarm,Residential - Other Residential Home,Lambeth,Kennington,Lambeth,4.0,1.0,Lambeth,51.4910760955,-0.1056747315,51.49281255,-0.12127607532912271,1.1
6.02,Fire - Secondary Fire,Outdoor - Small refuse/rubbish container,Westminster,Pimlico South,Lambeth,21.0,3.0,Lambeth,51.486816912,-0.1422497713,51.49281255,-0.12127607532912271,1.6
7.0,Special Service - Road Traffic Collision,Vehicle - Car,Lewisham,Grove Park,Eltham,5.0,2.0,Lee Green,51.42878769,0.0368660464,51.450696300000004,0.05940406450054428,2.89
5.3,False alarm - Good intent,Non Residential - Retail,Southwark,Rotherhithe,Old Kent Road,9.0,2.0,Dockhead,51.4919002863,-0.0451896746,51.4874989,-0.0755241,2.16
2.93,False Alarm - Automatic Fire Alarm,Non Residential - Retail,Barnet,Hendon,Hendon,9.0,2.0,Finchley,51.5862355161,-0.220665252,51.5863721,-0.2303106,0.67
5.75,Fire - Primary Fire,Residential - Retirement/Old Persons Home,Barnet,Colindale North,Hendon,15.0,1.0,Hendon,51.6008403212,-0.2485021267,51.5863721,-0.2303106,2.04
5.58,Special Service - Advice,Vehicle - Car,Wandsworth,Thamesfield,Fulham,11.0,2.0,Hammersmith,51.4647120834,-0.2146033266,51.47793005,-0.2009033004266302,1.75
5.67,False Alarm - Automatic Fire Alarm,Residential - Hotel/motel,Kensington and Chelsea,Earl's Court,Fulham,13.0,2.0,Hammersmith,51.4902868,-0.1989418,51.47793005,-0.2009033004266302,1.38
11.57,False Alarm - Automatic Fire Alarm,Non Residential - Public,Wandsworth,West Putney,Hammersmith,12.0,3.0,Fulham,51.4538552986,-0.2285407678,51.4960866,-0.2242808144811847,4.71
6.97,Fire - Secondary Fire,Outdoor - Small refuse/rubbish container,Redbridge,Valentines,Ilford,15.0,2.0,Stratford,51.5595540428,0.0606597094,51.5606734,0.081563,1.45
5.48,Fire - Primary Fire,Non Residential - Public,Harrow,Centenary,Stanmore,15.0,2.0,Mill Hill,51.5990783722,-0.3034812949,51.60365405,-0.29758725154755805,0.65
